id,date,type,severity,affectedIndustry,country,lat,lng,responseTime,dataBreached,mitigationStrategy,financialImpact,org
744,2017-10-08,Ransomware,High,Education,Australia,-25.761906,134.436977,44 hours,"95,750 records",Antivirus,$66.56M,Nation-state
745,2015-03-21,Ransomware,Critical,Retail,Brazil,-14.60883,-51.513462,16 hours,"879,260 records",Antivirus,$91.03M,Hacker Group
746,2017-07-14,Man-in-the-Middle,Medium,IT,Russia,61.457734,105.280962,29 hours,"561,615 records",Antivirus,$14.74M,Hacker Group
747,2016-02-17,SQL Injection,High,Retail,Brazil,-13.700299,-52.046062,45 hours,"206,598 records",Encryption,$40.29M,Unknown
748,2017-03-05,Man-in-the-Middle,High,IT,Brazil,-13.925799,-51.727202,54 hours,"171,305 records",Firewall,$56.83M,Unknown
749,2024-09-29,SQL Injection,High,Government,Russia,61.957305,105.443771,42 hours,"492,909 records",AI-based Detection,$63.45M,Unknown
750,2021-01-16,Man-in-the-Middle,High,IT,UK,55.341959,-3.510781,16 hours,"477,493 records",Encryption,$72.57M,Hacker Group
751,2021-07-13,Phishing,Medium,Government,Japan,36.400718,138.833868,67 hours,"622,723 records",AI-based Detection,$22.94M,Nation-state
752,2016-04-07,Malware,Critical,Healthcare,Australia,-24.475739,133.777245,40 hours,"124,155 records",Encryption,$80.22M,Nation-state
753,2024-04-09,Malware,Medium,Retail,China,36.127415,104.169917,55 hours,"897,277 records",VPN,$34.49M,Unknown
754,2017-12-17,SQL Injection,High,Healthcare,USA,38.857178,-95.87512,44 hours,"28,682 records",VPN,$51.26M,Hacker Group
755,2020-07-24,Phishing,High,Banking,Japan,36.864693,137.850557,44 hours,"512,431 records",VPN,$73.04M,Nation-state
756,2018-12-28,SQL Injection,Medium,IT,Australia,-25.467036,133.441728,44 hours,"171,977 records",Antivirus,$19.14M,Unknown
757,2015-11-08,SQL Injection,Medium,Telecommunications,UK,54.369937,-3.721612,36 hours,"943,070 records",VPN,$38.72M,Hacker Group
758,2021-05-03,DDoS,Medium,Education,Japan,36.68616,138.371975,7 hours,"887,855 records",AI-based Detection,$14.88M,Nation-state
759,2018-06-23,Ransomware,High,Retail,USA,38.888805,-95.431944,2 hours,"535,110 records",Antivirus,$54.05M,Nation-state
760,2021-10-28,Man-in-the-Middle,High,Telecommunications,USA,39.390585,-95.764987,8 hours,"817,386 records",Firewall,$42.29M,Nation-state
761,2018-10-17,Phishing,Critical,Banking,India,21.352692,78.654726,13 hours,"206,552 records",Encryption,$96.59M,Nation-state
762,2020-03-04,Man-in-the-Middle,High,Education,Brazil,-13.558211,-50.888929,19 hours,"154,966 records",Antivirus,$71.35M,Hacker Group
763,2016-04-06,Phishing,High,Banking,France,45.719578,1.995273,34 hours,"511,287 records",Antivirus,$54.50M,Unknown
764,2023-06-23,SQL Injection,Critical,Banking,Germany,50.327471,10.175287,37 hours,"426,499 records",VPN,$94.48M,Unknown
765,2016-08-05,Man-in-the-Middle,High,Telecommunications,UK,55.990558,-3.755328,36 hours,"15,907 records",Antivirus,$73.63M,Hacker Group
766,2022-08-08,Phishing,Medium,Education,UK,55.187539,-4.665842,31 hours,"375,734 records",AI-based Detection,$36.15M,Nation-state
767,2023-05-11,Malware,Medium,Government,Brazil,-15.137626,-52.06925,7 hours,"993,826 records",Firewall,$19.18M,Unknown
768,2023-08-24,Ransomware,Critical,Banking,India,20.390639,78.70903,12 hours,"397,813 records",Antivirus,$83.18M,Nation-state
769,2024-03-30,Ransomware,High,Banking,France,46.910369,1.213283,3 hours,"185,001 records",VPN,$70.98M,Insider
770,2024-08-25,DDoS,Low,IT,Japan,35.873753,138.996944,10 hours,"805,548 records",Antivirus,$7.99M,Insider
771,2015-12-08,SQL Injection,High,Retail,Brazil,-13.592793,-51.610897,37 hours,"562,552 records",Encryption,$74.74M,Nation-state
772,2018-02-23,Malware,Medium,Education,Brazil,-13.192139,-52.031629,46 hours,"724,513 records",VPN,$33.12M,Nation-state
773,2024-12-09,SQL Injection,High,Telecommunications,UK,55.892328,-4.381313,60 hours,"715,395 records",VPN,$54.10M,Unknown
774,2020-02-18,Ransomware,Critical,Telecommunications,France,46.875534,2.07079,15 hours,"177,097 records",Encryption,$75.13M,Unknown
775,2020-01-12,Man-in-the-Middle,High,Banking,Australia,-24.657862,133.910244,11 hours,"407,084 records",Firewall,$56.34M,Unknown
776,2023-07-15,Phishing,Medium,Healthcare,UK,54.791977,-3.445802,50 hours,"889,641 records",AI-based Detection,$23.66M,Hacker Group
777,2019-03-06,SQL Injection,Medium,IT,USA,38.148469,-96.102221,4 hours,"378,105 records",Encryption,$17.81M,Unknown
778,2020-02-08,SQL Injection,High,Education,Germany,51.707612,10.696315,50 hours,"597,987 records",Encryption,$43.96M,Hacker Group
779,2018-07-09,Malware,Critical,Education,USA,38.570862,-95.953343,47 hours,"10,600 records",Firewall,$77.07M,Insider
780,2016-08-31,SQL Injection,Medium,Healthcare,France,46.129286,3.130594,26 hours,"586,784 records",Encryption,$10.82M,Hacker Group
781,2023-08-26,SQL Injection,High,Banking,India,20.566451,78.768428,28 hours,"421,083 records",AI-based Detection,$48.53M,Insider
782,2023-05-25,Ransomware,Critical,Education,Australia,-24.947006,134.564435,47 hours,"127,127 records",Encryption,$94.86M,Unknown
783,2016-02-28,Malware,Medium,Government,China,36.373622,104.379157,38 hours,"668,188 records",AI-based Detection,$15.92M,Insider
784,2018-11-16,SQL Injection,Medium,Education,Japan,36.172686,138.978434,59 hours,"433,618 records",Antivirus,$11.28M,Hacker Group
785,2023-03-31,Malware,Low,Telecommunications,Germany,51.523241,10.240881,61 hours,"51,176 records",Encryption,$3.86M,Unknown
786,2016-04-27,SQL Injection,Medium,IT,Germany,50.839945,10.278035,16 hours,"918,452 records",AI-based Detection,$34.35M,Unknown
787,2023-01-11,Ransomware,Critical,Healthcare,Germany,51.145884,10.557581,33 hours,"152,814 records",AI-based Detection,$84.92M,Nation-state
788,2017-09-22,Man-in-the-Middle,High,Retail,USA,38.93783,-94.925766,29 hours,"502,149 records",AI-based Detection,$74.57M,Hacker Group
789,2019-11-24,Ransomware,Critical,Healthcare,USA,39.015851,-96.493263,16 hours,"46,960 records",AI-based Detection,$89.81M,Nation-state
790,2017-10-11,SQL Injection,High,Government,Brazil,-15.186243,-51.360152,21 hours,"651,335 records",Encryption,$40.66M,Insider
791,2018-07-27,DDoS,High,Telecommunications,Brazil,-15.442339,-52.060485,35 hours,"587,034 records",AI-based Detection,$69.83M,Hacker Group
792,2015-11-04,Man-in-the-Middle,Critical,Healthcare,France,46.421545,2.405111,71 hours,"856,278 records",Firewall,$79.58M,Hacker Group
793,2022-03-27,DDoS,Critical,Banking,China,35.720198,104.042375,56 hours,"880,586 records",VPN,$79.07M,Hacker Group
794,2019-08-30,DDoS,Critical,Government,USA,39.126426,-95.939272,27 hours,"78,873 records",Encryption,$81.56M,Hacker Group
795,2017-03-10,DDoS,High,Banking,Australia,-25.024275,133.680116,66 hours,"810,106 records",Encryption,$62.81M,Hacker Group
796,2021-05-09,DDoS,Medium,Government,Germany,50.674147,10.588484,67 hours,"937,384 records",Encryption,$28.71M,Hacker Group
797,2023-06-22,Man-in-the-Middle,Medium,Retail,Japan,35.51123,137.893611,4 hours,"231,307 records",Encryption,$36.68M,Unknown
798,2016-12-22,DDoS,High,IT,China,36.049862,105.211942,60 hours,"816,710 records",VPN,$71.75M,Hacker Group
799,2019-06-22,Man-in-the-Middle,Medium,Telecommunications,USA,39.150845,-95.794988,33 hours,"896,828 records",Firewall,$17.21M,Unknown
800,2016-07-23,DDoS,High,Telecommunications,UK,55.322271,-3.616828,28 hours,"937,466 records",AI-based Detection,$48.47M,Hacker Group
801,2020-08-31,DDoS,Medium,Banking,China,35.4216,103.618554,47 hours,"81,518 records",VPN,$11.72M,Nation-state
802,2015-02-12,Malware,Low,IT,Brazil,-14.400127,-51.820018,56 hours,"371,048 records",VPN,$1.35M,Hacker Group
803,2019-03-07,Phishing,Medium,IT,USA,38.52039,-95.982969,68 hours,"25,946 records",AI-based Detection,$20.13M,Hacker Group
804,2017-11-01,Man-in-the-Middle,Medium,Education,France,45.7266,2.138048,46 hours,"942,088 records",AI-based Detection,$14.99M,Insider
805,2015-05-12,Malware,Medium,Telecommunications,Japan,36.036285,138.599238,68 hours,"915,532 records",Encryption,$28.80M,Insider
806,2018-04-22,SQL Injection,Critical,Government,USA,38.973526,-96.259464,23 hours,"755,576 records",AI-based Detection,$99.49M,Insider
807,2018-01-20,Malware,Low,Education,Brazil,-14.647225,-52.85755,29 hours,"661,644 records",AI-based Detection,$6.30M,Insider
808,2019-06-11,DDoS,Critical,Telecommunications,UK,55.103836,-3.103692,13 hours,"168,951 records",VPN,$95.75M,Insider
809,2022-03-23,Man-in-the-Middle,High,IT,Russia,61.608625,105.804169,39 hours,"816,398 records",Encryption,$49.87M,Insider
810,2017-02-22,DDoS,Critical,Education,India,20.443928,79.407954,23 hours,"79,933 records",AI-based Detection,$83.49M,Hacker Group
811,2019-05-11,Malware,Critical,Government,USA,39.045118,-96.462923,35 hours,"506,149 records",Encryption,$83.84M,Nation-state
812,2021-09-12,Phishing,Critical,Retail,Japan,36.47692,139.013489,41 hours,"245,015 records",Firewall,$81.26M,Nation-state
813,2017-04-19,SQL Injection,High,Banking,Japan,34.586142,138.511974,64 hours,"966,993 records",VPN,$66.81M,Hacker Group
814,2016-02-23,Malware,Critical,Education,Australia,-23.950302,134.252233,32 hours,"235,062 records",Firewall,$88.87M,Nation-state
815,2022-09-25,Phishing,Critical,Healthcare,Brazil,-13.622868,-51.755428,56 hours,"132,520 records",Antivirus,$75.08M,Unknown
816,2016-05-11,SQL Injection,High,Retail,Germany,51.812822,10.339706,51 hours,"869,605 records",VPN,$56.57M,Unknown
817,2017-01-14,Phishing,Critical,Banking,USA,39.203292,-95.628022,11 hours,"637,264 records",AI-based Detection,$96.27M,Hacker Group
818,2021-01-23,DDoS,High,Banking,Russia,61.97524,104.818158,1 hours,"759,356 records",VPN,$45.60M,Insider
819,2021-11-26,DDoS,High,Education,Brazil,-13.778335,-52.125453,9 hours,"666,096 records",Encryption,$69.37M,Hacker Group
820,2021-12-02,SQL Injection,High,Telecommunications,India,20.107732,79.100511,57 hours,"851,981 records",AI-based Detection,$68.91M,Nation-state
821,2024-12-27,Phishing,Medium,Banking,Australia,-25.657645,134.09085,57 hours,"214,740 records",Encryption,$14.97M,Nation-state
822,2016-02-25,Phishing,Medium,Government,Brazil,-13.804527,-51.747028,60 hours,"372,653 records",VPN,$35.94M,Hacker Group
823,2024-09-14,Phishing,High,Banking,India,20.825435,78.58906,17 hours,"903,871 records",Encryption,$64.23M,Nation-state
824,2015-06-08,Malware,High,Education,India,20.63402,79.136742,5 hours,"924,049 records",VPN,$64.29M,Nation-state
825,2020-07-23,Malware,Critical,Government,Australia,-25.392309,134.4111,31 hours,"193,983 records",Antivirus,$98.05M,Nation-state
826,2021-03-19,Ransomware,Medium,Telecommunications,Russia,61.690076,106.01739,49 hours,"904,330 records",VPN,$11.04M,Nation-state
827,2018-02-24,SQL Injection,High,Education,India,19.331399,78.398676,11 hours,"874,254 records",Antivirus,$52.05M,Nation-state
828,2020-09-03,Man-in-the-Middle,Medium,Healthcare,Germany,51.492587,10.059123,27 hours,"691,190 records",Firewall,$28.81M,Nation-state
829,2024-08-26,DDoS,High,IT,China,36.506998,104.976147,48 hours,"412,245 records",Encryption,$61.42M,Nation-state
830,2021-09-17,Man-in-the-Middle,High,Healthcare,France,45.875152,1.862218,11 hours,"302,180 records",AI-based Detection,$53.77M,Insider
831,2016-11-19,Ransomware,Low,Government,USA,38.32996,-95.91992,11 hours,"537,592 records",Antivirus,$8.21M,Nation-state
832,2022-02-21,SQL Injection,Medium,Retail,Brazil,-14.832426,-51.195432,2 hours,"632,061 records",Antivirus,$25.85M,Nation-state
833,2015-05-02,DDoS,High,Retail,Brazil,-14.669889,-51.768691,32 hours,"224,815 records",Firewall,$67.52M,Nation-state
834,2022-04-30,DDoS,Medium,IT,India,20.850218,78.533997,36 hours,"169,310 records",Encryption,$23.91M,Unknown
835,2023-10-14,Man-in-the-Middle,Critical,Telecommunications,Japan,35.51379,137.89004,72 hours,"635,827 records",Encryption,$86.98M,Nation-state
836,2022-03-16,Ransomware,High,IT,UK,55.047009,-2.56837,43 hours,"560,021 records",Encryption,$63.67M,Unknown
837,2021-03-10,Man-in-the-Middle,High,Government,Japan,35.676608,138.699696,11 hours,"768,506 records",AI-based Detection,$61.03M,Nation-state
838,2018-08-19,Phishing,Medium,Healthcare,Australia,-25.166251,133.695838,58 hours,"755,469 records",Antivirus,$39.94M,Hacker Group
839,2022-08-08,Ransomware,High,Retail,India,20.846436,79.077651,2 hours,"205,336 records",AI-based Detection,$74.05M,Hacker Group
840,2020-06-29,DDoS,Low,IT,France,46.274454,1.803878,17 hours,"957,779 records",Encryption,$7.52M,Nation-state
841,2017-11-09,Malware,Medium,Education,UK,55.628378,-3.891942,3 hours,"85,644 records",AI-based Detection,$29.47M,Hacker Group
842,2019-09-25,Man-in-the-Middle,Critical,Telecommunications,France,46.081215,2.25749,31 hours,"561,713 records",Firewall,$75.99M,Insider
843,2017-04-21,Phishing,High,Healthcare,Germany,50.507249,10.542061,13 hours,"287,762 records",Encryption,$53.57M,Insider
844,2015-03-16,Phishing,Critical,Healthcare,India,20.446503,79.413517,5 hours,"471,550 records",VPN,$76.08M,Unknown
845,2018-03-13,SQL Injection,High,IT,Japan,36.885218,137.395412,66 hours,"33,209 records",AI-based Detection,$69.19M,Insider
846,2017-11-20,Phishing,High,Retail,China,36.332129,103.878755,33 hours,"395,251 records",Encryption,$45.83M,Unknown
847,2019-02-21,DDoS,Medium,IT,Germany,51.984667,9.504792,66 hours,"491,791 records",Encryption,$14.77M,Hacker Group
848,2016-03-03,Phishing,High,Healthcare,Australia,-25.585288,132.666797,66 hours,"279,874 records",AI-based Detection,$53.81M,Hacker Group
849,2019-01-12,Malware,High,IT,France,46.894728,1.837841,43 hours,"881,326 records",Firewall,$71.94M,Insider
850,2023-10-27,DDoS,High,IT,UK,55.950138,-3.864984,35 hours,"749,700 records",AI-based Detection,$68.86M,Nation-state
851,2022-03-07,Phishing,Critical,Government,UK,56.458232,-3.256753,10 hours,"722,445 records",Firewall,$97.56M,Nation-state
852,2023-08-08,Ransomware,Critical,Government,USA,38.674426,-96.023601,21 hours,"695,841 records",AI-based Detection,$84.13M,Nation-state
853,2020-01-24,SQL Injection,High,Government,USA,38.06193,-95.248181,33 hours,"803,757 records",Firewall,$40.95M,Hacker Group
854,2022-06-19,DDoS,Medium,IT,Japan,35.458498,138.219766,60 hours,"174,510 records",AI-based Detection,$20.16M,Insider
855,2022-04-21,SQL Injection,Medium,Retail,Germany,50.839147,9.229088,37 hours,"857,660 records",VPN,$11.51M,Hacker Group
856,2020-01-03,SQL Injection,High,Banking,UK,55.748008,-3.74935,42 hours,"729,265 records",Firewall,$47.67M,Unknown
857,2023-02-01,Phishing,Medium,Retail,India,20.347461,78.55608,44 hours,"836,604 records",AI-based Detection,$38.89M,Hacker Group
858,2016-03-26,Malware,Critical,Government,China,35.697222,104.067745,46 hours,"885,843 records",AI-based Detection,$91.69M,Insider
859,2015-07-04,Man-in-the-Middle,Medium,Education,France,46.974135,2.000361,60 hours,"808,798 records",Encryption,$17.94M,Unknown
860,2018-12-29,Man-in-the-Middle,Medium,Telecommunications,Russia,60.999056,106.292757,10 hours,"401,208 records",VPN,$30.50M,Hacker Group
861,2021-06-14,Ransomware,Critical,Healthcare,Japan,36.574825,139.070917,44 hours,"380,970 records",Encryption,$77.33M,Nation-state
862,2021-12-15,Phishing,High,Healthcare,USA,39.74846,-95.739977,70 hours,"248,437 records",Encryption,$70.03M,Hacker Group
863,2024-07-18,SQL Injection,High,Retail,Australia,-24.31026,134.141432,37 hours,"709,125 records",AI-based Detection,$66.49M,Hacker Group
864,2018-01-27,Malware,Low,Education,Japan,36.181098,138.896946,67 hours,"656,250 records",Firewall,$5.33M,Hacker Group
865,2020-08-27,Ransomware,Medium,Healthcare,India,20.743125,80.196816,63 hours,"32,616 records",Firewall,$10.46M,Unknown
866,2017-03-07,Phishing,Medium,Healthcare,Australia,-25.109494,133.544355,3 hours,"290,846 records",Firewall,$39.30M,Unknown
867,2023-04-16,DDoS,Medium,Banking,India,20.980765,78.54778,38 hours,"557,428 records",VPN,$23.83M,Insider
868,2015-10-26,DDoS,High,Banking,Japan,36.112665,138.481478,8 hours,"182,440 records",Firewall,$59.13M,Insider
869,2021-02-24,DDoS,Medium,Government,Australia,-24.868675,133.978915,71 hours,"292,383 records",Encryption,$30.24M,Insider
870,2017-05-14,DDoS,Critical,Government,France,46.013009,1.854618,44 hours,"99,728 records",VPN,$86.82M,Nation-state
871,2015-03-28,DDoS,High,IT,USA,39.612338,-96.616794,47 hours,"365,006 records",VPN,$66.39M,Insider
872,2019-03-02,Ransomware,High,Telecommunications,Russia,61.259629,105.480632,33 hours,"605,427 records",Encryption,$61.11M,Nation-state
873,2022-05-28,Malware,Low,Retail,USA,39.121598,-95.487913,11 hours,"864,358 records",VPN,$7.65M,Hacker Group
874,2016-06-26,Ransomware,Low,Retail,USA,39.126927,-96.315802,26 hours,"610,968 records",Antivirus,$9.82M,Unknown
875,2016-02-27,DDoS,High,IT,China,34.910537,104.540276,27 hours,"413,150 records",Firewall,$67.28M,Hacker Group
876,2017-01-16,Malware,Medium,Education,USA,39.977458,-96.402776,35 hours,"681,956 records",Antivirus,$13.14M,Nation-state
877,2016-04-28,Man-in-the-Middle,Critical,IT,Australia,-24.754327,134.386754,15 hours,"94,162 records",Firewall,$84.46M,Unknown
878,2023-12-30,Man-in-the-Middle,Low,Retail,France,45.83374,2.262935,72 hours,"565,002 records",Firewall,$9.43M,Hacker Group
879,2017-08-06,Phishing,Critical,Retail,France,46.634211,1.974001,20 hours,"275,185 records",Encryption,$90.69M,Nation-state
880,2021-03-17,DDoS,Medium,Retail,Russia,62.135962,104.709736,19 hours,"476,758 records",AI-based Detection,$37.47M,Hacker Group
881,2024-02-28,SQL Injection,Low,Banking,USA,39.271071,-95.807147,24 hours,"312,607 records",Antivirus,$7.20M,Hacker Group
882,2017-01-14,Phishing,Critical,Banking,Russia,61.35697,105.407668,7 hours,"963,192 records",VPN,$94.15M,Hacker Group
883,2015-10-20,Malware,High,Healthcare,Australia,-24.866541,133.427596,8 hours,"680,874 records",Antivirus,$42.15M,Unknown
884,2018-01-19,DDoS,Medium,Government,France,45.430314,2.586609,4 hours,"904,770 records",Antivirus,$15.71M,Hacker Group
885,2022-07-12,SQL Injection,Critical,Government,USA,37.890891,-95.127445,6 hours,"429,452 records",Antivirus,$98.46M,Hacker Group
886,2018-04-28,Ransomware,High,Healthcare,USA,38.219201,-96.414433,35 hours,"858,128 records",Antivirus,$51.71M,Hacker Group
887,2021-03-09,Malware,High,Education,China,36.142375,103.326593,44 hours,"615,849 records",Encryption,$42.26M,Nation-state
888,2019-01-18,Phishing,Critical,Education,UK,54.716905,-3.414419,44 hours,"467,349 records",Firewall,$99.45M,Nation-state
889,2021-07-16,SQL Injection,High,Retail,France,46.192626,2.656144,28 hours,"235,418 records",Encryption,$63.74M,Nation-state
890,2017-02-23,SQL Injection,Low,IT,Australia,-25.059107,132.454355,25 hours,"823,606 records",Encryption,$5.05M,Insider
891,2020-07-22,SQL Injection,Critical,IT,China,35.501595,104.630219,66 hours,"923,489 records",Firewall,$89.38M,Nation-state
892,2024-03-10,Phishing,High,IT,USA,37.91628,-95.434942,64 hours,"630,793 records",AI-based Detection,$58.57M,Hacker Group
893,2015-11-24,SQL Injection,High,Education,France,46.905235,1.366812,54 hours,"691,903 records",VPN,$65.83M,Unknown
894,2019-05-13,Phishing,Critical,Government,UK,54.988096,-2.924505,8 hours,"133,632 records",Firewall,$79.79M,Hacker Group
895,2017-06-14,Phishing,Critical,Banking,Australia,-25.284907,133.250405,45 hours,"42,278 records",AI-based Detection,$90.50M,Insider
896,2016-06-13,Phishing,Low,IT,Germany,51.177236,10.536006,9 hours,"176,471 records",VPN,$2.10M,Unknown
897,2015-03-07,SQL Injection,High,Telecommunications,India,20.643397,78.301628,68 hours,"916,516 records",Encryption,$63.72M,Hacker Group
898,2023-09-26,SQL Injection,Critical,Government,Japan,36.245495,138.175226,62 hours,"510,002 records",Firewall,$87.80M,Hacker Group
899,2015-10-11,Malware,Critical,IT,UK,55.274383,-4.072729,51 hours,"435,994 records",Encryption,$82.45M,Nation-state
900,2016-12-18,Ransomware,High,IT,India,20.755747,78.367352,55 hours,"537,670 records",Encryption,$66.19M,Hacker Group
901,2022-03-21,Malware,Medium,Banking,Russia,62.42176,106.148418,50 hours,"850,339 records",Firewall,$39.62M,Hacker Group
902,2021-01-05,DDoS,Medium,Government,Japan,36.500606,137.88565,10 hours,"937,562 records",Firewall,$35.46M,Unknown
903,2020-06-23,Malware,Medium,Government,France,46.534599,2.163437,5 hours,"405,267 records",AI-based Detection,$10.62M,Nation-state
904,2022-08-26,DDoS,Critical,Government,China,35.202996,103.545222,59 hours,"346,279 records",Encryption,$80.76M,Unknown
905,2016-02-14,DDoS,Medium,Telecommunications,Brazil,-14.420644,-51.376264,63 hours,"889,928 records",Encryption,$10.45M,Nation-state
906,2018-11-25,SQL Injection,Low,Healthcare,France,46.717736,1.861824,44 hours,"376,206 records",Antivirus,$0.95M,Unknown
907,2018-10-23,Ransomware,Medium,IT,India,19.846004,78.67016,13 hours,"227,433 records",Antivirus,$27.14M,Unknown
908,2023-03-04,Ransomware,High,Healthcare,Germany,51.278078,10.551453,39 hours,"393,779 records",Encryption,$54.79M,Nation-state
909,2022-07-07,Ransomware,High,IT,Russia,61.419908,105.953598,42 hours,"529,025 records",AI-based Detection,$41.08M,Insider
910,2024-09-28,Man-in-the-Middle,Low,Education,Brazil,-14.056811,-51.2646,14 hours,"451,311 records",Encryption,$8.94M,Unknown
911,2017-08-25,Ransomware,Critical,Education,India,21.095783,78.777686,28 hours,"677,198 records",VPN,$98.11M,Unknown
912,2024-04-07,Man-in-the-Middle,Low,Healthcare,Russia,61.45355,105.430516,59 hours,"480,988 records",Encryption,$9.40M,Nation-state
913,2015-12-16,Ransomware,High,Telecommunications,Australia,-24.584284,133.926981,61 hours,"605,536 records",VPN,$46.39M,Nation-state
914,2018-05-05,Ransomware,Medium,Banking,Brazil,-14.290558,-51.981551,31 hours,"910,960 records",Antivirus,$30.61M,Nation-state
915,2018-12-25,Ransomware,High,Banking,China,36.116782,103.978377,3 hours,"386,308 records",Antivirus,$43.98M,Nation-state
916,2017-01-08,Man-in-the-Middle,High,Banking,Australia,-25.28232,133.641529,2 hours,"100,855 records",VPN,$54.38M,Unknown
917,2023-10-04,Malware,Medium,Education,China,35.049721,104.445986,18 hours,"317,922 records",Antivirus,$23.74M,Insider
918,2018-06-05,DDoS,Critical,IT,USA,38.937335,-95.162283,59 hours,"220,618 records",Firewall,$82.13M,Unknown
919,2015-11-14,Ransomware,Medium,Telecommunications,India,20.742715,79.365168,54 hours,"825,941 records",VPN,$24.70M,Hacker Group
920,2022-06-15,Malware,High,Education,China,36.147277,104.300187,3 hours,"331,234 records",Antivirus,$60.90M,Unknown
921,2020-08-31,Man-in-the-Middle,Medium,Telecommunications,China,35.561695,104.650348,59 hours,"855,055 records",Antivirus,$14.61M,Hacker Group
922,2022-11-22,DDoS,Medium,Telecommunications,Japan,36.600815,138.729243,40 hours,"305,329 records",Firewall,$34.31M,Unknown
923,2020-01-18,Phishing,Medium,Government,Japan,35.866662,138.671344,57 hours,"442,923 records",Encryption,$32.39M,Nation-state
924,2015-11-14,Ransomware,Critical,Banking,UK,55.682674,-3.212726,15 hours,"893,277 records",Firewall,$79.30M,Unknown
925,2020-08-30,Malware,Medium,Healthcare,China,36.02616,104.531892,64 hours,"240,532 records",Encryption,$30.86M,Insider
926,2016-09-05,DDoS,Critical,Healthcare,USA,39.425476,-95.851787,55 hours,"947,960 records",Firewall,$93.14M,Nation-state
927,2018-12-01,Malware,High,Healthcare,Brazil,-14.421031,-51.790199,30 hours,"437,283 records",Antivirus,$52.87M,Insider
928,2019-11-21,Malware,Medium,Healthcare,China,36.505362,103.983955,7 hours,"761,390 records",Antivirus,$29.61M,Insider
929,2019-01-17,Phishing,Medium,Retail,France,46.078702,1.452994,15 hours,"998,507 records",AI-based Detection,$25.75M,Insider
930,2017-12-27,DDoS,Critical,Retail,India,20.69336,77.872444,62 hours,"593,329 records",AI-based Detection,$82.17M,Hacker Group
931,2019-12-07,Phishing,High,Banking,UK,55.304034,-3.240402,62 hours,"197,590 records",Encryption,$60.07M,Insider
932,2017-10-07,Ransomware,High,Banking,Japan,37.129163,138.289024,15 hours,"53,111 records",Antivirus,$50.75M,Hacker Group
933,2017-07-22,Phishing,Medium,Retail,Australia,-25.530068,133.775151,54 hours,"69,641 records",Firewall,$14.88M,Hacker Group
934,2022-11-26,DDoS,High,IT,Germany,51.075718,9.550683,54 hours,"953,770 records",Firewall,$73.98M,Insider
935,2023-07-31,SQL Injection,High,Retail,Japan,36.898696,138.408348,20 hours,"643,549 records",VPN,$42.33M,Nation-state
936,2022-04-02,Man-in-the-Middle,Critical,Education,Brazil,-14.604534,-51.557694,39 hours,"899,279 records",Firewall,$77.98M,Insider
937,2016-02-15,Ransomware,Low,Education,India,20.068927,79.384541,44 hours,"857,887 records",Firewall,$8.55M,Unknown
938,2016-12-06,Phishing,Medium,Government,Russia,60.828122,105.497884,71 hours,"503,775 records",VPN,$30.57M,Unknown
939,2015-11-23,SQL Injection,Medium,IT,Japan,36.625059,137.55436,17 hours,"452,892 records",VPN,$36.98M,Unknown
940,2018-01-27,Ransomware,Medium,Healthcare,Russia,61.257997,105.652129,6 hours,"327,566 records",AI-based Detection,$24.06M,Unknown
941,2018-06-09,Ransomware,High,Education,Australia,-25.154926,133.868449,3 hours,"851,204 records",Firewall,$50.66M,Insider
942,2017-10-09,Man-in-the-Middle,Critical,Government,UK,54.192188,-3.858977,29 hours,"923,309 records",Firewall,$79.27M,Hacker Group
943,2023-05-21,Phishing,High,Banking,Brazil,-15.070612,-52.271331,30 hours,"151,590 records",Antivirus,$71.86M,Nation-state
944,2022-11-13,DDoS,Medium,Education,UK,55.267745,-3.708256,8 hours,"452,432 records",Firewall,$21.01M,Nation-state
945,2015-11-28,Ransomware,Critical,Retail,Japan,36.507255,137.848584,65 hours,"769,596 records",VPN,$95.38M,Nation-state
946,2022-06-07,Phishing,Medium,Banking,Germany,51.365882,10.285404,37 hours,"407,151 records",Antivirus,$14.79M,Unknown
947,2023-06-25,DDoS,High,IT,Brazil,-13.959815,-51.332385,67 hours,"312,555 records",AI-based Detection,$45.97M,Nation-state
948,2019-05-11,Man-in-the-Middle,Critical,Government,Brazil,-14.927392,-51.530378,68 hours,"311,908 records",Encryption,$76.39M,Unknown
949,2018-06-19,Malware,High,Banking,China,36.100987,103.486334,41 hours,"59,979 records",Firewall,$68.55M,Insider
950,2019-10-30,Malware,Low,IT,Japan,36.295548,138.338067,55 hours,"233,545 records",Antivirus,$9.86M,Unknown
951,2020-11-13,Man-in-the-Middle,Critical,Retail,France,45.516394,1.592189,33 hours,"722,081 records",VPN,$89.85M,Hacker Group
952,2024-12-20,SQL Injection,Critical,Healthcare,Russia,60.985544,105.806434,31 hours,"873,037 records",Antivirus,$76.99M,Nation-state
953,2022-03-10,Malware,Medium,IT,India,20.933051,79.157992,3 hours,"482,213 records",AI-based Detection,$12.08M,Nation-state
954,2020-08-03,Phishing,Medium,Education,India,21.180371,78.176033,15 hours,"512,850 records",Antivirus,$39.72M,Hacker Group
955,2023-09-10,Man-in-the-Middle,Medium,Telecommunications,China,35.326743,104.286279,56 hours,"849,834 records",AI-based Detection,$37.73M,Hacker Group
